TrialID19,Animal,Treatment,Age,Sex,WeightGain,cFEC,Perc.cFECred,WormB,Perc.WormBred,Tci-APY-1,Tci-MEP-1,Tci-CF-1,Tci-MIF-1,Tci-SAA,Tci-TGH-2,Tci-ASP-1,Tci-ES20
1,6450H,V,6.7,F,8,2036,-3,3900,19,2.211,3.712,1.555,2.149,4.246,2.878,1.888,0.6582
1,6451H,V,6.7,M,3,119,94,5950,66,2.096,5.706,2.84,2.285,2.632,4.414,3.271,1.33
1,6455H,V,6.7,M,7,0,100,150,99,2.773,3.607,3.274,3.775,4.092,3.811,2.245,2.103
1,6474H,V,6.7,M,6,1560,21,1000,95,2.056,2.539,3.188,2.379,2.682,3.313,2.238,1.842
1,6496H,V,6.7,F,5,130,93,2400,95,2.28,4.563,3.774,2.258,4.29,4.231,2.899,1.563
1,6507H,V,6.7,F,6,60,97,1450,89,3.809,5.275,3.267,2.167,3.512,5.012,4.098,1.993
1,6508H,V,6.7,M,7,264,87,4900,42,3.181,2.703,3.854,2.266,3.505,3.198,2.484,2.627
2a,640J,V,5.8,F,7,809,86,4850,22,1.321,3.24,1.762,1.358,2.874,3.052,1.703,2.206
2a,670J,V,5.8,M,8,5174,7,6850,-10,1.826,3.67,3.171,2.458,4.304,3.106,1.955,1.763
2a,672J,V,5.8,M,8,811,85,4500,28,2.393,4.384,1.856,2.966,3.4,3.202,2.568,2.515
2a,675J,V,5.8,F,5,17364,-211,11250,-80,2.238,3.977,2.526,2.849,3.227,2.82,2.176,1.864
2a,679J,V,5.8,F,9,3377,40,3250,48,3.717,3.564,2.546,3.012,4.931,2.522,2.198,1.927
2a,681J,V,5.8,M,7,6566,-17,10500,-68,5.67,4.876,1.855,2.973,5.106,3.29,3.099,4.495
2a,683J,V,5.8,M,13,884,84,6700,-7,3.552,5.153,1.874,1.868,4.331,4.065,3.066,2.982
2b,644J,V,5.8,F,6,5940,64,2600,50,2.093,2.168,2.58,1.889,1.959,2.136,1.413,2.144
2b,645J,V,5.8,M,6,4416,74,250,95,2.454,5.883,1.752,2.188,4.82,3.122,2.325,1.75
2b,646J,V,5.8,M,6,8583,49,2950,43,2.625,5.503,2.169,2.277,3.711,3.707,3.229,1.726
2b,663J,V,5.8,M,7,6770,60,1800,66,2.01,1.976,2.379,2.342,3.695,2.777,1.517,2.008
2b,676J,V,5.8,F,6,9075,46,5500,-5,1.779,2.295,1.671,2.063,2.197,2.583,1.769,1.899
2b,680J,V,5.8,F,6,8681,48,1500,71,2.104,2.786,1.666,3.493,3.986,2.631,1.622,3.382
2b,684J,V,5.8,M,13,5575,67,1300,75,2.096,2.883,1.808,1.544,2.66,2.671,1.924,2.924
3,3031,V,4.7,F,8,15684,-33,3000,9,1.632,4.27,2.045,2.565,3.891,3.428,2.107,3.595
3,3165,V,4.7,F,5,11127,6,2500,24,1.474,2.864,1.559,2.048,2.966,3.333,2.109,1.575
3,3176,V,4.7,F,6,7187,39,1100,67,1.927,5.536,1.534,3.285,3.276,4.374,3.434,3.986
3,3239,V,4.7,F,9,6123,48,3900,-18,1.763,4.23,1.626,1.746,2.49,3.922,2.219,2.793
3,4004,V,4.7,M,5,24886,-111,4400,-33,1.924,4.614,1.441,2.209,2.814,3.691,2.503,2.503
3,4008,V,4.7,M,7,3696,69,300,91,1.121,4.215,0.8149,2.14,3.716,3.142,2.335,1.764
3,4059,V,4.7,M,10,4494,62,2500,24,0.7377,2.619,1.749,2.003,2.647,2.569,1.877,1.604
3,4124,V,4.7,M,5,7346,38,3900,-18,2.097,3.634,3.22,2.491,4.332,3.672,2.581,1.962
3,4159,V,4.7,M,6,10692,9,4800,-45,2.469,4.509,1.594,2.375,4.636,3.339,3.246,2.859
3,4163,V,4.7,M,6,24742,-110,2400,27,1.719,4.15,1.273,1.775,4.276,3.001,2.216,2.029
3,4170,V,4.7,M,6,10839,8,2700,18,1.812,3.993,1.568,3.12,2.712,3.141,2.353,2.008
3,4176,V,4.7,M,6,14355,-22,2000,39,1.738,2.624,2.398,2.123,2.658,2.594,1.741,1.919
5,6561,V,6.2,M,0,7667,54,11900,5,1.859,4.446,1.479,1.728,2.945,3.438,2.057,2.828
5,6566,V,6.2,M,0,12651,25,10800,14,1.338,5.166,1.642,2.586,2.627,3.485,3.04,2.94
5,6578,V,6.2,M,-2,7548,55,10800,14,3.763,4.598,2.057,1.976,2.695,3.494,2.7,3.836
5,6582,V,6.2,M,1,40457,-141,20200,-61,1.651,1.536,1.498,1.434,2.511,2.204,1.681,0.9608
5,6601,V,6.2,M,2,12228,27,13200,-6,1.369,3.588,0.8571,1.615,3.063,2.499,1.965,2.506
5,6610,V,6.2,M,2,16712,0,6600,47,0.9577,2.615,1.206,1.925,2.587,2.656,2.12,1.096
5,6853,V,6.2,F,1,7967,52,3700,70,1.837,3.291,1.083,1.933,2.516,3.281,2.009,1.738
5,6877,V,6.2,F,0,1390,92,1900,85,1.218,5.628,1.624,2.366,2.956,3.75,1.479,2.501
5,6882,V,6.2,F,2,30715,-83,26900,-115,1.18,2.812,0.928,2.817,3.875,2.995,1.393,2.168
5,6886,V,6.2,F,1,14049,16,12500,0,1.454,2.818,1.172,1.978,2.065,2.65,1.191,2.379
5,6888,V,6.2,F,-1,15874,5,17400,-39,1.091,1.801,0.9945,1.389,2.644,2.337,1.376,2.754
5,6893,V,6.2,F,1,5154,69,10300,18,0.812,3.289,0.9532,1.243,2.846,2.479,1.354,1.65
4a,6618,V,3,M,,948,86,150,97,2.026,1.975,1.137,1.843,2.935,2.51,2.481,2.687
4a,6630,V,3,M,,6740,1,2950,42,1.358,2.308,1.4,2.248,3.047,1.431,1.576,1.884
4a,6651,V,3,M,,4424,35,4800,5,2.835,3.855,2.202,2.659,1.673,2.686,2.138,3.445
4a,6655,V,3,M,,5927,13,600,88,1.469,1.601,0.9788,2.517,1.705,2.79,1.881,2.567
4a,6854,V,3,F,,3439,49,650,87,1.991,2.426,1.09,2.155,2.072,1.737,1.683,2.152
4a,6858,V,3,F,,3774,45,1850,64,2.346,2.833,1.57,3.069,1.549,2.212,2.333,1.802
4a,6867,V,3,F,,8,100,1400,72,,1.884,1.571,2.244,2.976,2.306,2.458,1.784
4a,6938,V,3,F,,2696,60,1050,79,2.04,2.213,1.541,2.37,2.344,1.985,2.299,2.962
4a,6565,V,3,M,,9957,25,6300,6,2.422,2.831,0.9762,2.341,2.891,2.315,2.03,2.239
4a,6615,V,3,M,,14721,-12,1000,85,2.942,2.28,1.541,3.035,3.108,3.464,2.552,4.635
4a,6622,V,3,M,,820,94,1000,85,3.112,1.393,1.392,2.058,2.453,2.44,2.067,2.821
4a,6642,V,3,M,,3738,72,600,91,1.996,1.512,1.045,2.31,1.549,2.28,1.816,2.755
4a,6917,V,3,F,,6308,52,2800,58,,1.568,1.141,1.945,2.89,1.896,1.404,1.489
4a,6925,V,3,F,,3118,76,1700,75,1.679,1.547,1.114,2.584,2.356,4.369,2.833,3.326
4a,6937,V,3,F,,5694,57,3350,50,2.783,2.493,1.426,2.184,2.116,3.121,2.944,2.165
4b,6572,V,6,M,,3971,40,0,100,1.728,3.137,1.496,2.562,3.233,2.137,1.724,1.976
