Trial,Animal,Group,cFEC,Perc.cFECred,WormB,Perc.WormBred,Tci-APY-1,Tci-MEP-1,Tci-CF-1,Tci-MIF-1,Tci-SAA,Tci-TGH-2,Tci-ASP-1,Tci-ES20
1,6450H,Vaccinated,2036,-3,3900,19,0.132,0.154,0.111,0.076,0.037,0.07,0.102,0.115
1,6451H,Vaccinated,119,94,5950,66,0.071,0.082,0.068,0.047,0.035,0.056,0.066,0.116
1,6455H,Vaccinated,0,100,150,99,0.127,0.111,0.045,0.066,0.037,0.072,0.076,0.06
1,6474H,Vaccinated,1560,21,1000,95,0.202,0.206,0.247,0.36,0.196,0.133,0.177,0.31
1,6496H,Vaccinated,130,93,2400,95,0.185,0.147,0.122,0.053,0.118,0.095,0.125,0.057
1,6507H,Vaccinated,60,97,1450,89,0.144,0.092,0.097,0.123,0.134,0.065,0.05,0.038
1,6508H,Vaccinated,264,87,4900,42,0.108,0.154,0.099,0.236,0.101,0.058,0.099,0.111
2a,640J,Vaccinated,809,86,4850,22,0.121,0.202,0.107,0.067,0.169,0.145,0.138,0.058
2a,670J,Vaccinated,5174,7,6850,-10,0.255,0.196,0.092,0.188,0.105,0.224,0.185,0.147
2a,672J,Vaccinated,811,85,4500,28,0.614,0.631,0.453,0.278,0.402,0.528,0.449,0.139
2a,675J,Vaccinated,17364,-211,11250,-80,0.478,0.338,0.183,0.192,0.379,0.338,0.283,0.11
2a,679J,Vaccinated,3377,40,3250,48,0.231,0.172,0.052,0.055,0.078,0.203,0.168,0.081
2a,681J,Vaccinated,6566,-17,10500,-68,0.262,0.127,0.145,0.087,0.115,0.17,0.167,0.106
2a,683J,Vaccinated,884,84,6700,-7,0.321,0.266,0.245,0.146,0.233,0.319,0.283,0.127
2b,644J,Vaccinated,5940,64,2600,50,0.301,0.144,0.174,0.08,0.071,0.209,0.188,0.036
2b,645J,Vaccinated,4416,74,250,95,0.178,0.146,0.093,0.095,0.072,0.224,0.208,0.029
2b,646J,Vaccinated,8583,49,2950,43,0.123,0.106,0.11,0.052,0.086,0.19,0.156,0.037
2b,663J,Vaccinated,6770,60,1800,66,0.283,0.321,0.415,0.095,0.913,0.298,0.312,0.022
2b,676J,Vaccinated,9075,46,5500,-5,0.127,0.135,0.188,0.074,0.231,0.131,0.143,0.024
2b,680J,Vaccinated,8681,48,1500,71,0.326,0.25,0.198,0.082,0.24,0.306,0.288,0.079
2b,684J,Vaccinated,5575,67,1300,75,0.197,0.125,0.103,0.091,0.077,0.188,0.172,0.049
3,3031,Vaccinated,15684,-33,3000,9,0.78,0.826,0.796,1.014,0.953,0.825,0.803,0.151
3,3165,Vaccinated,11127,6,2500,24,0.325,0.348,0.292,0.234,0.236,0.341,0.384,0.121
3,3176,Vaccinated,7187,39,1100,67,0.372,0.298,0.326,0.512,0.142,0.337,0.335,0.266
3,3239,Vaccinated,6123,48,3900,-18,0.29,0.331,0.347,0.156,0.17,0.284,0.345,0.126
3,4004,Vaccinated,24886,-111,4400,-33,0.169,0.192,0.17,0.101,0.087,0.192,0.231,0.089
3,4008,Vaccinated,3696,69,300,91,0.242,0.423,0.204,0.193,0.324,0.294,0.334,0.072
3,4059,Vaccinated,4494,62,2500,24,0.251,0.233,0.205,0.112,0.074,0.236,0.243,0.068
3,4124,Vaccinated,7346,38,3900,-18,0.247,0.208,0.097,0.066,0.052,0.232,0.216,0.064
3,4159,Vaccinated,10692,9,4800,-45,0.25,0.278,0.11,0.104,0.184,0.225,0.275,0.056
3,4163,Vaccinated,24742,-110,2400,27,0.895,0.82,1.335,0.997,0.89,0.757,0.864,0.191
3,4170,Vaccinated,10839,8,2700,18,0.236,0.283,0.214,0.078,0.141,0.27,0.355,0.103
3,4176,Vaccinated,14355,-22,2000,39,0.766,0.873,0.697,0.929,0.979,0.844,0.893,0.173
5,6561,Vaccinated,7667,54,11900,5,0.341,0.345,0.174,0.099,0.112,0.437,0.376,0.089
5,6566,Vaccinated,12651,25,10800,14,0.407,0.376,0.225,0.17,0.166,0.51,0.438,0.243
5,6578,Vaccinated,7548,55,10800,14,0.442,0.495,0.348,0.521,0.345,0.531,0.499,0.302
5,6582,Vaccinated,40457,-141,20200,-61,0.198,0.18,0.178,0.122,0.133,0.173,0.194,0.133
5,6601,Vaccinated,12228,27,13200,-6,0.344,0.235,0.172,0.2,0.106,0.366,0.311,0.118
5,6610,Vaccinated,16712,0,6600,47,0.26,0.261,0.169,0.074,0.15,0.371,0.405,0.132
5,6853,Vaccinated,7967,52,3700,70,0.236,0.209,0.2,0.093,0.087,0.312,0.345,0.161
5,6877,Vaccinated,1390,92,1900,85,0.314,0.366,0.469,0.253,0.238,0.412,0.507,0.129
5,6882,Vaccinated,30715,-83,26900,-115,0.236,0.272,0.17,0.188,0.111,0.425,0.449,0.111
5,6886,Vaccinated,14049,16,12500,0,0.188,0.192,0.248,0.21,0.096,0.3,0.374,0.226
5,6888,Vaccinated,15874,5,17400,-39,0.27,0.207,0.14,0.102,0.153,0.312,0.363,0.14
5,6893,Vaccinated,5154,69,10300,18,0.238,0.219,0.196,0.144,0.078,0.287,0.31,0.207
1,6453H,Control,212,89,2550,59,0.023,0.017,0.028,0.018,0.043,0.007,0.008,0.006
1,6462H,Control,2171,-10,4900,21,0.021,0.029,0.019,0.017,0.023,0.008,0.01,0.01
1,6468H,Control,4760,-141,8600,-38,0.067,0.037,0.046,0.019,0.015,0.018,0.016,0.034
1,6482H,Control,1441,27,5850,6,0.024,0.018,0.016,0.004,0.03,0.011,0.009,0.025
1,6484H,Control,1171,41,7550,-21,0.017,0.018,0.025,0.01,0.012,0.013,0.014,0.016
1,6492H,Control,1826,8,6100,2,0.031,0.036,0.031,0.011,0.028,0.014,0.007,0.021
1,6494H,Control,2244,-14,8050,-29,0.013,0.001,0.014,0.007,0.007,0.005,0.003,0.006
2a,637J,Control,1937,65,5550,11.2,0.082,0.116,0.042,0.034,0.047,0.059,0.032,0.034
2a,639J,Control,4623,17,8550,-36.8,0.027,0.149,0.028,0.027,0.024,0.027,0.023,0.028
2a,641J,Control,2670,52,2500,60,0.055,0.052,0.038,0.03,0.042,0.054,0.042,0.028
2a,643J,Control,5356,4,8100,-29.6,0.053,0.033,0.015,0.023,0.024,0.051,0.026,0.012
2a,648J,Control,1458,74,4050,35,0.057,0.048,0.057,0.039,0.059,0.035,0.037,0.023
2a,661J,Control,5787,-4,5500,12,0.115,0.101,0.069,0.052,0.109,0.14,0.12,0.053
2a,669J,Control,7062,-26,9500,-52,0.105,0.032,0.032,0.044,0.05,0.078,0.018,0.018
2b,642J,Control,16870,-1,5850,-12,0.033,0.041,0.03,0.028,0.03,0.051,0.025,0.031
2b,657J,Control,11770,30,4600,12,0.099,0.057,0.043,0.029,0.049,0.08,0.076,0.032
2b,658J,Control,7016,58,6250,-20,0.017,0.021,0.011,0.023,0.013,0.003,0.015,0.019
2b,659J,Control,14333,14,3200,39,0.037,0.043,0.017,0.031,0.038,0.06,0.045,0.059
2b,662J,Control,15198,9,1200,77,0.083,0.109,0.026,0.036,0.042,0.064,0.062,0.033
2b,671J,Control,23746,-42,5650,-8,0.075,0.057,0.046,0.026,0.033,0.055,0.047,0.033
2b,678J,Control,28156,-68,9800,-88,0.038,0.027,0.043,0.018,0.043,0.064,0.04,0.015
3,3018,Control,6820,42,9500,-188,0.049,0.086,0.054,0.016,0.028,0.087,0.043,0.024
3,3127,Control,10496,11,2600,21,0.048,0.065,0.034,0.059,0.059,0.072,0.048,0.031
3,3171,Control,12078,-2,4600,-39,0.034,0.053,0.052,0.059,0.026,0.055,0.036,0.019
3,3504,Control,16986,-44,4900,-48,0.068,0.105,0.065,0.018,0.025,0.091,0.046,0.022
3,4022,Control,12108,-3,1700,48,0.112,0.155,0.119,0.049,0.046,0.156,0.105,0.06
3,4079,Control,8882,25,1200,64,0.017,0.03,0.018,0.019,0.014,0.041,0.019,0.021
3,4111,Control,14163,-20,8800,-167,0.069,0.122,0.074,0.02,0.032,0.11,0.076,0.027
3,4112,Control,593,95,0,100,0.007,0.031,0.02,0.011,0.017,0.045,0.021,0.021
3,4162,Control,8706,26,0,100,0.012,0.027,0.023,0.018,0.027,0.02,0.026,0.015
3,4171,Control,14949,-27,2500,24,0.03,0.035,0.07,0.018,0.017,0.027,0.022,0.019
3,4181,Control,13056,-11,1600,52,0.033,0.08,0.079,0.03,0.009,0.11,0.047,0.027
3,4524,Control,22766,-93,2200,33,0.068,0.113,0.073,0.024,0.048,0.059,0.056,0.037
