Trial,Animal,Group,cFEC,Perc.cFECred,WormB,Perc.WormBred,Tci-APY-1,Tci-MEP-1,Tci-CF-1,Tci-MIF-1,Tci-SAA,Tci-TGH-2,Tci-ASP-1,Tci-ES20
1,6450H,Vaccinated,2036,-3,3900,19,0.096,0.783,0.331,0.403,0.506,0.413,0.441,0.453
1,6451H,Vaccinated,119,94,5950,66,0.079,0.66,0.285,0.341,0.429,0.352,0.374,0.385
1,6455H,Vaccinated,0,100,150,99,0.069,0.52,0.217,0.269,0.335,0.273,0.292,0.3
1,6474H,Vaccinated,1560,21,1000,95,0.207,0.229,0.248,0.228,0.235,0.237,0.233,0.235
1,6496H,Vaccinated,130,93,2400,95,0.092,0.207,0.119,0.14,0.155,0.138,0.144,0.146
1,6507H,Vaccinated,60,97,1450,89,0.051,0.795,0.295,0.38,0.49,0.388,0.42,0.433
1,6508H,Vaccinated,264,87,4900,42,0.089,0.57,0.257,0.305,0.378,0.313,0.332,0.341
2a,640J,Vaccinated,809,86,4850,22,0.091,0.259,0.034,0.028,0.109,0.072,0.092,0.05
2a,670J,Vaccinated,5174,7,6850,-10,0.246,0.45,0.222,0.098,0.302,0.208,0.238,0.069
2a,672J,Vaccinated,811,85,4500,28,0.135,0.366,0.078,0.091,0.197,0.126,0.152,0.112
2a,675J,Vaccinated,17364,-211,11250,-80,0.65,0.679,0.272,0.24,0.303,0.324,0.494,0.337
2a,679J,Vaccinated,3377,40,3250,48,0.332,0.473,0.364,0.044,0.595,0.221,0.303,0.161
2a,681J,Vaccinated,6566,-17,10500,-68,0.239,0.51,0.016,0.133,0.137,0.199,0.329,0.073
2a,683J,Vaccinated,884,84,6700,-7,0.399,0.362,0.161,0.046,0.347,0.353,0.476,0.145
2b,644J,Vaccinated,5940,64,2600,50,0.28,0.319,0.215,0.049,0.066,0.078,0.105,0.133
2b,645J,Vaccinated,4416,74,250,95,0.343,0.373,0.035,0.043,0.238,0.094,0.108,0.061
2b,646J,Vaccinated,8583,49,2950,43,0.481,0.423,0.082,0.034,0.164,0.229,0.289,0.033
2b,663J,Vaccinated,6770,60,1800,66,0.319,0.283,0.029,0.011,0.454,0.034,0.041,0.023
2b,676J,Vaccinated,9075,46,5500,-5,0.145,0.34,0.027,0.014,0.449,0.053,0.049,0.022
2b,680J,Vaccinated,8681,48,1500,71,0.349,0.486,0.113,0.018,0.284,0.216,0.29,0.25
2b,684J,Vaccinated,5575,67,1300,75,0.518,0.494,0.122,0.03,0.113,0.141,0.15,0.133
3,3031,Vaccinated,15684,-33,3000,9,0.461,0.829,0.156,0.03,0.16,0.228,0.142,0.346
3,3165,Vaccinated,11127,6,2500,24,0.08,0.268,0.013,0.01,0.006,0.02,0.005,0.026
3,3176,Vaccinated,7187,39,1100,67,0.039,0.318,0.008,0.005,-0.001,0.052,0.029,0.081
3,3239,Vaccinated,6123,48,3900,-18,0.399,0.477,0.054,0.01,0.03,0.108,0.082,0.356
3,4004,Vaccinated,24886,-111,4400,-33,0.205,0.689,0.019,0.019,0.021,0.071,0.039,0.051
3,4008,Vaccinated,3696,69,300,91,0.227,0.705,0.022,0.016,0.301,0.207,0.137,0.2
3,4059,Vaccinated,4494,62,2500,24,0.014,0.093,0.011,0.006,0.002,0.016,0.01,0.015
3,4124,Vaccinated,7346,38,3900,-18,0.677,0.866,0.222,0.035,0.328,0.543,0.364,0.495
3,4159,Vaccinated,10692,9,4800,-45,1.242,1.139,0.335,0.067,0.572,1.037,0.853,0.739
3,4163,Vaccinated,24742,-110,2400,27,0.744,1.041,0.134,0.056,0.258,0.404,0.207,0.2
3,4170,Vaccinated,10839,8,2700,18,0.167,0.23,0.006,0.001,0.005,0.048,0.04,0.079
3,4176,Vaccinated,14355,-22,2000,39,0.039,0.054,0.011,0.013,0.025,0.041,0.018,0.03
5,6561,Vaccinated,7667,54,11900,5,0.169,0.35,0.073,0.071,0.101,0.083,0.086,0.127
5,6566,Vaccinated,12651,25,10800,14,0.447,1.483,0.083,0.089,0.154,0.191,0.207,0.103
5,6578,Vaccinated,7548,55,10800,14,0.174,0.355,0.076,0.067,0.123,0.096,0.116,0.106
5,6582,Vaccinated,40457,-141,20200,-61,0.678,0.174,0.069,0.073,0.1,0.102,0.096,0.065
5,6601,Vaccinated,12228,27,13200,-6,0.255,0.354,0.086,0.081,0.089,0.149,0.165,0.112
5,6610,Vaccinated,16712,0,6600,47,0.467,0.703,0.076,0.068,0.095,0.172,0.191,0.129
5,6853,Vaccinated,7967,52,3700,70,0.105,0.132,0.07,0.067,0.076,0.087,0.09,0.072
5,6877,Vaccinated,1390,92,1900,85,0.106,0.232,0.068,0.068,0.075,0.088,0.09,0.072
5,6882,Vaccinated,30715,-83,26900,-115,0.547,0.961,0.078,0.083,0.103,0.118,0.116,0.099
5,6886,Vaccinated,14049,16,12500,0,0.317,0.502,0.077,0.071,0.09,0.1,0.1,0.086
5,6888,Vaccinated,15874,5,17400,-39,0.37,0.577,0.074,0.077,0.086,0.097,0.099,0.087
5,6893,Vaccinated,5154,69,10300,18,0.195,0.514,0.088,0.07,0.082,0.112,0.122,0.082
1,6453H,Control,212,89,2550,59,0.015,0.026,0.005,0.004,0.001,0.008,0.015,0.006
1,6462H,Control,2171,-10,4900,21,0.006,0.012,0.002,0.004,0.003,0.005,0.002,0
1,6468H,Control,4760,-141,8600,-38,0.022,0.021,0.001,0.005,0.004,0.006,0.005,0.002
1,6482H,Control,1441,27,5850,6,0.028,0.047,0.01,0.007,0.02,0.011,0.009,0.016
1,6484H,Control,1171,41,7550,-21,0.029,0.068,0.014,0.008,0.012,0.011,0.012,0.004
1,6492H,Control,1826,8,6100,2,0.013,0.027,0.001,0.008,0.01,0.008,0.009,0.005
1,6494H,Control,2244,-14,8050,-29,0.09,0.135,0.051,0.008,0.037,0.027,0.016,0.009
2a,637J,Control,1937,65,5550,11.2,0.017,0.02,0.008,0.012,0.053,0.023,0.013,0.007
2a,639J,Control,4623,17,8550,-36.8,0.01,0.119,0.009,0.013,0.03,0.013,0.015,0.012
2a,641J,Control,2670,52,2500,60,0.096,0.272,0.018,0.026,0.062,0.033,0.037,0.022
2a,643J,Control,5356,4,8100,-29.6,0.018,0.032,0.01,0.016,0.051,0.012,0.015,0.008
2a,648J,Control,1458,74,4050,35,0.012,0.021,0.012,0.009,0.03,0.012,0.014,0.011
2a,661J,Control,5787,-4,5500,12,0.024,0.096,0.01,0.016,0.05,0.011,0.015,0.015
2a,669J,Control,7062,-26,9500,-52,0.04,0.061,0.006,0.01,0.063,0.012,0.011,0.006
2b,642J,Control,16870,-1,5850,-12,0.058,0.339,0.007,0.011,0.063,0.02,0.017,0.009
