Trial,Animal,Group,cFEC,Perc.cFECred,WormB,Perc.WormBred,Tci-APY-1,Tci-MEP-1,Tci-CF-1,Tci-MIF-1,Tci-SAA,Tci-TGH-2,Tci-ASP-1,Tci-ES20
1,6450H,Vaccinated,2036,-3,3900,19,0.664,0.899,0.676,0.24,0.603,0.621,0.387,0.248
1,6451H,Vaccinated,119,94,5950,66,0.767,0.944,0.726,0.212,0.473,0.699,0.614,0.161
1,6455H,Vaccinated,0,100,150,99,0.607,0.79,0.796,0.492,0.474,0.435,0.335,0.407
1,6474H,Vaccinated,1560,21,1000,95,0.569,0.827,0.782,0.149,0.326,0.35,0.488,0.463
1,6496H,Vaccinated,130,93,2400,95,0.654,0.917,0.808,0.29,0.489,0.42,0.431,0.458
1,6507H,Vaccinated,60,97,1450,89,0.717,0.948,0.899,0.214,0.6,0.684,0.629,0.584
1,6508H,Vaccinated,264,87,4900,42,0.661,0.829,0.766,0.206,0.536,0.552,0.466,0.448
2a,640J,Vaccinated,809,86,4850,22,0.51,0.685,0.194,0.064,0.454,0.465,0.479,0.334
2a,670J,Vaccinated,5174,7,6850,-10,0.572,0.765,0.688,0.144,0.659,0.487,0.452,0.21
2a,672J,Vaccinated,811,85,4500,28,0.707,0.812,0.411,0.328,0.68,0.631,0.544,0.554
2a,675J,Vaccinated,17364,-211,11250,-80,0.916,0.954,0.553,0.485,0.541,0.699,0.887,0.608
2a,679J,Vaccinated,3377,40,3250,48,0.894,0.878,0.611,0.134,1.026,0.591,0.692,0.558
2a,681J,Vaccinated,6566,-17,10500,-68,0.896,1.087,0.153,0.443,0.548,0.673,0.853,0.377
2a,683J,Vaccinated,884,84,6700,-7,0.807,0.942,0.479,0.121,0.783,0.676,0.82,0.372
2b,644J,Vaccinated,5940,64,2600,50,0.508,0.597,0.466,0.082,0.314,0.455,0.446,0.368
2b,645J,Vaccinated,4416,74,250,95,0.836,0.983,0.426,0.247,0.785,0.699,0.732,0.397
2b,646J,Vaccinated,8583,49,2950,43,1.047,1.266,0.556,0.209,0.863,0.834,1.117,0.195
2b,663J,Vaccinated,6770,60,1800,66,0.585,0.638,0.4,0.071,0.654,0.492,0.462,0.235
2b,676J,Vaccinated,9075,46,5500,-5,0.544,0.738,0.38,0.227,0.158,0.6,0.56,0.097
2b,680J,Vaccinated,8681,48,1500,71,0.656,0.8,0.369,0.057,0.602,0.634,0.786,0.471
2b,684J,Vaccinated,5575,67,1300,75,0.766,0.753,0.498,0.208,0.436,0.713,0.935,0.403
3,3031,Vaccinated,15684,-33,3000,9,1.273,1.537,1.333,0.676,1.242,1.14,1.333,1.522
3,3165,Vaccinated,11127,6,2500,24,1.175,1.419,1.239,0.181,0.884,1.177,1.429,1.188
3,3176,Vaccinated,7187,39,1100,67,1.338,1.434,1.327,0.926,0.768,1.182,1.515,1.721
3,3239,Vaccinated,6123,48,3900,-18,1.204,1.446,1.364,0.4,0.884,1.037,1.259,1.304
3,4004,Vaccinated,24886,-111,4400,-33,1.281,1.454,1.21,0.531,1.189,1.18,1.383,1.183
3,4008,Vaccinated,3696,69,300,91,1.179,1.397,0.602,0.434,1.279,1.104,1.172,0.768
3,4059,Vaccinated,4494,62,2500,24,1.183,1.364,1.428,0.168,0.312,0.951,0.995,0.695
3,4124,Vaccinated,7346,38,3900,-18,1.357,1.506,1.235,0.484,1.104,1.097,1.42,0.969
3,4159,Vaccinated,10692,9,4800,-45,1.461,1.534,1.343,0.654,1.256,1.125,1.469,1.524
3,4163,Vaccinated,24742,-110,2400,27,1.33,1.486,1.271,0.458,1.104,1.068,1.34,0.993
3,4170,Vaccinated,10839,8,2700,18,0.951,1.475,0.357,0.036,0.498,0.952,1.091,0.853
3,4176,Vaccinated,14355,-22,2000,39,1.127,1.44,1.189,0.369,0.964,1.03,1.184,0.48
5,6561,Vaccinated,7667,54,11900,5,2.046,2.403,0.64,0.102,0.874,1.443,1.235,1.329
5,6566,Vaccinated,12651,25,10800,14,1.855,3.67,0.462,0.126,0.865,1.875,1.905,0.571
5,6578,Vaccinated,7548,55,10800,14,2.547,2.465,0.658,0.076,0.683,1.917,2.22,1.358
5,6582,Vaccinated,40457,-141,20200,-61,2.311,2.01,0.653,0.131,0.797,2.136,1.724,0.284
5,6601,Vaccinated,12228,27,13200,-6,1.93,2.568,0.901,0.17,0.543,1.801,2.021,1.486
5,6610,Vaccinated,16712,0,6600,47,2.01,2.516,0.292,0.058,0.624,1.792,2.098,0.642
5,6853,Vaccinated,7967,52,3700,70,1.681,2.15,0.82,0.069,0.332,1.423,1.69,0.513
5,6877,Vaccinated,1390,92,1900,85,1.708,2.208,1.304,0.18,0.802,1.757,1.905,1.494
5,6882,Vaccinated,30715,-83,26900,-115,1.509,1.443,0.4,0.375,0.902,1.263,1.231,0.84
5,6886,Vaccinated,14049,16,12500,0,1.617,1.936,0.48,0.119,0.562,1.337,1.088,0.85
5,6888,Vaccinated,15874,5,17400,-39,1.059,0.841,0.412,0.081,0.408,0.813,0.85,0.737
5,6893,Vaccinated,5154,69,10300,18,1.262,1.847,0.515,0.073,0.406,1.356,1.021,0.403
4a,6618,Vaccinated,948,86,150,97,1.535,1.934,0.609,0.381,1.22,1.653,1.823,1.515
4a,6630,Vaccinated,6740,1,2950,42,1.342,1.762,1.066,1.059,1.281,1.476,1.786,1.863
4a,6651,Vaccinated,4424,35,4800,5,1.186,1.64,1.386,0.873,0.39,1.258,1.537,1.747
4a,6655,Vaccinated,5927,13,600,88,1.168,1.654,0.896,0.941,1.117,1.397,1.718,1.76
4a,6854,Vaccinated,3439,49,650,87,1.166,1.782,0.827,0.196,0.892,1.416,1.698,1.807
4a,6858,Vaccinated,3774,45,1850,64,1.091,1.355,0.967,0.91,0.903,1.221,1.505,1.383
4a,6867,Vaccinated,8,100,1400,72,1.39,1.82,0.973,0.742,1.167,1.521,1.752,1.639
4a,6938,Vaccinated,2696,60,1050,79,1.286,1.665,1.007,0.68,0.476,1.396,1.682,1.888
4a,6565,Vaccinated,9957,25,6300,6,1.249,1.869,0.476,0.322,1.516,1.499,1.765,1.261
4a,6615,Vaccinated,14721,-12,1000,85,1.227,1.695,0.719,1.158,1.219,1.442,1.714,1.351
4a,6622,Vaccinated,820,94,1000,85,1.131,1.545,0.94,0.278,0.489,1.274,1.615,1.559
4a,6642,Vaccinated,3738,72,600,91,1.176,1.676,0.454,0.219,0.526,1.399,1.691,1.26
4a,6917,Vaccinated,6308,52,2800,58,1.163,1.158,1.043,1.07,0.697,1.063,1.375,1.591
4a,6925,Vaccinated,3118,76,1700,75,1.32,1.699,1.29,1.516,0.533,1.485,1.749,1.876
4a,6937,Vaccinated,5694,57,3350,50,1.345,1.619,1.287,0.788,1.148,1.401,1.647,1.876
4b,6572,Vaccinated,3971,40,0,100,1.514,1.798,1.216,1.583,1.352,1.536,1.719,1.616
4b,6614,Vaccinated,29108,-341,600,55,1.175,1.531,1.411,1.612,1.139,1.291,1.562,1.821
4b,6621,Vaccinated,3905,41,400,70,0.93,1.528,1.007,0.967,1.025,1.28,1.556,1.674
4b,6636,Vaccinated,5110,23,3050,-128,1.032,1.493,1.204,0.749,0.839,1.301,1.581,1.679
4b,6855,Vaccinated,15507,-135,100,93,1.283,1.715,1.188,0.556,1.367,1.411,1.64,1.785
4b,6901,Vaccinated,1158,82,800,40,0.976,1.43,1.028,0.851,1.151,1.205,1.466,1.748
4b,6916,Vaccinated,3215,51,650,51,0.99,1.597,0.508,0.021,0.318,1.277,1.62,1.06
4b,6927,Vaccinated,2121,68,150,89,1.217,1.595,0.592,0.452,1.298,1.357,1.692,1.311
4b,6576,Vaccinated,2823,65,0,100,1.453,1.727,1.202,1.127,0.763,1.422,1.676,1.851
4b,6647,Vaccinated,1548,81,100,97,1.206,1.621,1.369,1.483,1.375,1.415,1.637,1.866
4b,6652,Vaccinated,5743,29,2250,37,0.705,1.343,0.104,0.308,0.82,1.16,1.436,1.388
4b,6905,Vaccinated,1491,82,200,94,1.333,1.695,1.108,1.293,0.988,1.414,1.593,1.491
4b,6910,Vaccinated,12287,-51,2150,40,1.257,1.639,1.124,0.726,1.247,1.403,1.592,1.541
4b,6911,Vaccinated,2365,71,650,82,1.001,1.528,0.705,0.142,0.382,1.265,1.542,1.386
4b,6928,Vaccinated,4087,50,1250,65,1.159,1.693,0.908,1.326,1.302,1.36,1.672,1.582
1,6453H,Control,212,89,2550,59,0.011,0.013,0.014,0.009,0.005,0.011,0.009,0.01
1,6462H,Control,2171,-10,4900,21,0.016,0.008,0.006,0.008,0.002,0.009,0.011,0.012
1,6468H,Control,4760,-141,8600,-38,0.08,0.039,0.01,0.013,0.003,0.017,0.01,0.015
1,6482H,Control,1441,27,5850,6,0.011,0.008,0.008,0.011,0.005,0.013,0.006,0.009
1,6484H,Control,1171,41,7550,-21,0.014,0.012,0.006,0.011,0.002,0.011,0.008,0.015
1,6492H,Control,1826,8,6100,2,0.012,0.017,0.011,0.01,0.004,0.014,0.012,0.012
1,6494H,Control,2244,-14,8050,-29,0.019,0.014,0.011,0.006,0.003,0.007,0.007,0.008
2a,637J,Control,1937,65,5550,11.2,0.014,0.032,0.009,0.028,0.039,0.005,0.01,0.009
2a,639J,Control,4623,17,8550,-36.8,0.011,0.037,0.004,0.023,0.02,0.015,0.022,0.011
2a,641J,Control,2670,52,2500,60,0.004,0.026,0.004,0.016,0.019,0.01,0.01,0.009
