TrialID19,Animal,Treatment,Sex,WeightGain,cFEC,Perc.cFECred,WormB,Perc.WormBred
1,6450H,Vaccinated,F,8,2036,-3,3900,19
1,6451H,Vaccinated,M,3,119,94,5950,66
1,6455H,Vaccinated,M,7,0,100,150,99
1,6474H,Vaccinated,M,6,1560,21,1000,95
1,6496H,Vaccinated,F,5,130,93,2400,95
1,6507H,Vaccinated,F,6,60,97,1450,89
1,6508H,Vaccinated,M,7,264,87,4900,42
2a,640J,Vaccinated,F,7,809,86,4850,22
2a,670J,Vaccinated,M,8,5174,7,6850,-10
2a,672J,Vaccinated,M,8,811,85,4500,28
2a,675J,Vaccinated,F,5,17364,-211,11250,-80
2a,679J,Vaccinated,F,9,3377,40,3250,48
2a,681J,Vaccinated,M,7,6566,-17,10500,-68
2a,683J,Vaccinated,M,13,884,84,6700,-7
2b,644J,Vaccinated,F,6,5940,64,2600,50
2b,645J,Vaccinated,M,6,4416,74,250,95
2b,646J,Vaccinated,M,6,8583,49,2950,43
2b,663J,Vaccinated,M,7,6770,60,1800,66
2b,676J,Vaccinated,F,6,9075,46,5500,-5
2b,680J,Vaccinated,F,6,8681,48,1500,71
2b,684J,Vaccinated,M,13,5575,67,1300,75
3,3031,Vaccinated,F,8,15684,-33,3000,9
3,3165,Vaccinated,F,5,11127,6,2500,24
3,3176,Vaccinated,F,6,7187,39,1100,67
3,3239,Vaccinated,F,9,6123,48,3900,-18
3,4004,Vaccinated,M,5,24886,-111,4400,-33
3,4008,Vaccinated,M,7,3696,69,300,91
3,4059,Vaccinated,M,10,4494,62,2500,24
3,4124,Vaccinated,M,5,7346,38,3900,-18
3,4159,Vaccinated,M,6,10692,9,4800,-45
3,4163,Vaccinated,M,6,24742,-110,2400,27
3,4170,Vaccinated,M,6,10839,8,2700,18
3,4176,Vaccinated,M,6,14355,-22,2000,39
5,6561,Vaccinated,M,0,7667,54,11900,5
5,6566,Vaccinated,M,0,12651,25,10800,14
5,6578,Vaccinated,M,-2,7548,55,10800,14
5,6582,Vaccinated,M,1,40457,-141,20200,-61
5,6601,Vaccinated,M,2,12228,27,13200,-6
5,6610,Vaccinated,M,2,16712,0,6600,47
5,6853,Vaccinated,F,1,7967,52,3700,70
5,6877,Vaccinated,F,0,1390,92,1900,85
5,6882,Vaccinated,F,2,30715,-83,26900,-115
5,6886,Vaccinated,F,1,14049,16,12500,0
5,6888,Vaccinated,F,-1,15874,5,17400,-39
5,6893,Vaccinated,F,1,5154,69,10300,18
4a,6618,Vaccinated,M,,948,86,150,97
4a,6630,Vaccinated,M,,6740,1,2950,42
4a,6651,Vaccinated,M,,4424,35,4800,5
4a,6655,Vaccinated,M,,5927,13,600,88
4a,6854,Vaccinated,F,,3439,49,650,87
